Position X,Position Y,Position Z
419520.000,4805560.000,1460.303
419520.000,4805580.000,1460.304
419520.000,4805600.000,1460.304
419520.000,4805590.000,1460.303
419520.000,4805520.000,1461.956
419520.000,4805510.000,1462.763
419520.000,4805530.000,1460.304
419520.000,4805550.000,1460.303
419520.000,4805540.000,1460.303
419520.000,4805610.000,1460.303
419520.000,4805680.000,1460.303
419520.000,4805670.000,1460.303
419520.000,4805690.000,1460.303
419520.000,4805693.248,1460.303
419520.000,4805281.939,1487.661
419520.000,4805630.000,1460.303
419520.000,4805620.000,1460.303
419520.000,4805640.000,1460.303
419520.000,4805660.000,1460.303
419520.000,4805650.000,1460.303
419520.000,4805500.000,1463.230
419520.000,4805350.000,1488.761
419520.000,4805340.000,1489.845
419520.000,4805360.000,1487.214
419520.000,4805380.000,1481.139
419520.000,4805370.000,1483.568
419520.000,4805300.000,1488.162
419520.000,4805290.000,1487.613
419520.000,4805310.000,1489.789
419520.000,4805330.000,1490.347
419520.000,4805320.000,1490.045
419520.000,4805390.000,1478.556
419520.000,4805460.000,1466.714
419520.000,4805450.000,1467.670
419520.000,4805470.000,1465.396
419520.000,4805490.000,1463.969
419520.000,4805480.000,1464.693
419520.000,4805410.000,1474.443
419520.000,4805400.000,1476.144
419520.000,4805420.000,1472.566
419520.000,4805440.000,1468.432
419520.000,4805430.000,1470.850
419525.448,4805694.552,1460.303
419526.504,4805283.496,1490.244
419530.000,4805570.000,1460.303
419530.000,4805560.000,1460.303
419530.000,4805580.000,1460.303
419530.000,4805600.000,1460.303
419530.000,4805590.000,1460.303
419530.000,4805520.000,1462.623
419530.000,4805510.000,1463.094
419530.000,4805530.000,1461.630
419530.000,4805550.000,1460.303
419530.000,4805540.000,1460.303
419530.000,4805610.000,1460.303
419530.000,4805680.000,1460.303
419530.000,4805670.000,1460.303
419530.000,4805690.000,1460.303
419530.000,4805695.643,1460.303
419530.000,4805284.334,1491.418
419530.000,4805630.000,1460.303
419530.000,4805620.000,1460.303
419530.000,4805640.000,1460.303
419530.000,4805660.000,1460.303
419530.000,4805650.000,1460.303
419530.000,4805500.000,1463.798
419530.000,4805350.000,1490.008
419530.000,4805340.000,1490.966
419530.000,4805360.000,1487.156
419530.000,4805380.000,1482.828
419530.000,4805370.000,1484.487
419530.000,4805300.000,1491.211
419530.000,4805290.000,1491.102
419530.000,4805310.000,1491.954
419530.000,4805330.000,1492.065
419530.000,4805320.000,1492.032
419530.000,4805390.000,1480.714
419530.000,4805460.000,1467.735
419530.000,4805450.000,1468.394
419530.000,4805470.000,1466.959
419530.000,4805490.000,1464.763
419530.000,4805480.000,1465.850
419530.000,4805410.000,1476.128
419530.000,4805400.000,1477.951
419530.000,4805420.000,1473.467
419530.000,4805440.000,1470.425
419530.000,4805430.000,1471.831
419533.516,4805696.484,1460.303
419534.572,4805285.428,1493.571
419540.000,4805570.000,1460.303
419540.000,4805560.000,1460.304
419540.000,4805580.000,1460.303
419540.000,4805600.000,1460.303
419540.000,4805590.000,1460.303
419540.000,4805520.000,1462.790
419540.000,4805510.000,1463.297
419540.000,4805530.000,1462.368
419540.000,4805550.000,1460.303
419540.000,4805540.000,1460.303
419540.000,4805610.000,1460.303
419540.000,4805680.000,1460.303
419540.000,4805670.000,1460.303
419540.000,4805690.000,1460.303
419540.000,4805698.037,1460.303
419540.000,4805286.728,1496.140
419540.000,4805630.000,1460.303
419540.000,4805620.000,1460.303
419540.000,4805640.000,1460.303
419540.000,4805660.000,1460.303
419540.000,4805650.000,1460.303
419540.000,4805500.000,1464.166
419540.000,4805350.000,1490.403
419540.000,4805340.000,1492.263
419540.000,4805360.000,1489.109
419540.000,4805380.000,1484.753
419540.000,4805370.000,1487.295
419540.000,4805300.000,1494.441
419540.000,4805290.000,1495.964
419540.000,4805310.000,1494.457
419540.000,4805330.000,1493.592
419540.000,4805320.000,1494.152
419540.000,4805390.000,1482.834
419540.000,4805460.000,1468.493
419540.000,4805450.000,1470.071
419540.000,4805470.000,1467.633
419540.000,4805490.000,1465.072
419540.000,4805480.000,1466.401
419540.000,4805410.000,1477.634
419540.000,4805400.000,1479.563
419540.000,4805420.000,1475.703
419540.000,4805440.000,1471.819
419540.000,4805430.000,1473.458
419541.584,4805698.416,1460.303
419542.640,4805287.360,1497.212
419548.197,4805700.000,1460.303
419549.652,4805700.348,1460.303
419550.000,4805580.000,1460.304
419550.000,4805570.000,1460.303
419550.000,4805590.000,1460.304
419550.000,4805610.000,1460.303
419550.000,4805600.000,1460.304
